"","playerID","yearID","ballots","needed","votes","inducted","category","name_given","name_nick"
"290","kerrdi01",1938,262,197,3,"N","Player","Richard Henry",""
"291","nichoki01",1938,262,197,3,"N","Player","Charles Augustus",""
"292","traynpi01",1938,262,197,3,"N","Player","Harold Joseph",""
"293","bancrda01",1938,262,197,2,"N","Player","David James","Beauty"
"294","bradlbi01",1938,262,197,2,"N","Player","William Joseph",""
"295","burkeje01",1938,262,197,2,"N","Player","Jesse Cail","Crab"
"296","chesbja01",1938,262,197,2,"N","Player","John Dwight","Happy Jack"
"297","coombja01",1938,262,197,2,"N","Player","John Wesley","Colby Jack"
"298","cravaga01",1938,262,197,2,"N","Player","Clifford Carlton","Cactus Gavvy"
"299","elberki01",1938,262,197,2,"N","Player","Norman Arthur","The Tabasco Kid"
"300","fosteed02",1938,262,197,2,"N","Player","Edward Cunningham","Kid"
"301","judgejo01",1938,262,197,2,"N","Player","Joseph Ignatius",""
"302","mageesh01",1938,262,197,2,"N","Player","Sherwood Robert",""
"303","peckiro01",1938,262,197,2,"N","Player","Roger Thorpe",""
"304","rixeyep01",1938,262,197,2,"N","Player",NA,NA
"305","schreos01",1938,262,197,2,"N","Player","Freeman Osee",""
"306","scottev01",1938,262,197,2,"N","Player","Lewis Everett","Deacon"
"307","stengca01",1938,262,197,2,"N","Manager","Charles Dillon","The Old Perfessor"
"308","beaumgi01",1938,262,197,1,"N","Player","Clarence Howeth",""
"309","bergema01",1938,262,197,1,"N","Player","Martin",""
"310","chapmra01",1938,262,197,1,"N","Player","Raymond Johnson",""
"311","coaklan01",1938,262,197,1,"N","Player","Andrew James",""
"312","coopewi01",1938,262,197,1,"N","Player","Arley Wilbur",""
"313","covelst01",1938,262,197,1,"N","Player","Stanley Anthony",""
"314","cranddo01",1938,262,197,1,"N","Player","James Otis",""
"315","cruiswa01",1938,262,197,1,"N","Player","Walton Edwin",""
"316","dahlebi01",1938,262,197,1,"N","Player","William Frederick","Bad Bill"
"317","daubeja01",1938,262,197,1,"N","Player","Jacob Ellsworth",""
"318","donovbi01",1938,262,197,1,"N","Player","William Edward","Wild Bill"
"319","dooinre01",1938,262,197,1,"N","Player","Charles Sebastian",""
"320","duganjo01",1938,262,197,1,"N","Player","Joseph Anthony","Jumping Joe"
"321","ehmkeho01",1938,262,197,1,"N","Player","Howard John",""
"322","faberre01",1938,262,197,1,"N","Player","Urban Clarence",""
"323","flickel01",1938,262,197,1,"N","Player","Elmer Harrison",""
"324","gleaski01",1938,262,197,1,"N","Player","William J.",""
"325","granted01",1938,262,197,1,"N","Player",NA,NA
"326","grimebu01",1938,262,197,1,"N","Player",NA,NA
"327","harribu01",1938,262,197,1,"N","Manager","Stanley Raymond",""
"328","herzobu01",1938,262,197,1,"N","Player","Charles Lincoln",""
"329","irwinch01",1938,262,197,1,"N","Player","Charles Edwin",""
"330","jonesfi01",1938,262,197,1,"N","Player","Fielder Allison",""
"331","lathaar01",1938,262,197,1,"N","Player","Walter Arlington","The Freshest Man On Earth"
"332","loberha01",1938,262,197,1,"N","Player","John Bernard","Honus"
"333","longhe01",1938,262,197,1,"N","Player","Herman C.","Germany; Flying Dutchman"
"334","luquedo01",1938,262,197,1,"N","Player","Adolfo Domingo de Guzman","The Pride Of Havana"
"335","marbefi01",1938,262,197,1,"N","Player","Frederick",""
"336","meusebo01",1938,262,197,1,"N","Player","Robert William","Long Bob"
"337","milancl01",1938,262,197,1,"N","Player","Jesse Clyde","Deerfoot"
"338","moranpa01",1938,262,197,1,"N","Player","Patrick Joseph",""
"339","murrare01",1938,262,197,1,"N","Player","John Joseph",""
"340","perduhu01",1938,262,197,1,"N","Player","Herbert Rodney","The Gallatin Squash"
"341","ricesa01",1938,262,197,1,"N","Player","Edgar Charles",""
"342","sheckji01",1938,262,197,1,"N","Player",NA,NA
"343","shockur01",1938,262,197,1,"N","Player","Urban James",""
"344","stahlja01",1938,262,197,1,"N","Player",NA,NA
"345","streega01",1938,262,197,1,"N","Player","Charles Evard","Old Sarge"
"346","thomair01",1938,262,197,1,"N","Player","Ira Felix",""
"347","willicy01",1938,262,197,1,"N","Player","Fred",""
"348","zimmech01",1938,262,197,1,"N","Player","Charles Louis","Chief"
"349","cartwal99",1938,NA,NA,NA,"Y","Pioneer/Executive",NA,NA
"350","chadwhe99",1938,NA,NA,NA,"Y","Pioneer/Executive","Henry",""
"351","sislege01",1939,274,206,235,"Y","Player","George Harold","Gorgeous George"
"352","collied01",1939,274,206,213,"Y","Player","Edward Trowbridge","Cocky"
"353","keelewi01",1939,274,206,207,"Y","Player",NA,NA
"354","wadderu01",1939,274,206,179,"N","Player","George Edward",""
"355","hornsro01",1939,274,206,176,"N","Player","Rogers","Rajah"
"356","chancfr01",1939,274,206,158,"N","Player","Frank Leroy","Husk; The Peerless Leader"
"357","delahed01",1939,274,206,145,"N","Player","Edward James","Big Ed"
"358","walshed01",1939,274,206,132,"N","Player","Edward Augustine","Big Ed"
"359","eversjo01",1939,274,206,107,"N","Player","John Joseph","Crab; Trojan"
"360","huggimi01",1939,274,206,97,"N","Manager","Miller James","Mighty Mite"
"361","maranra01",1939,274,206,82,"N","Player","Walter James Vincent",""
"362","colliji01",1939,274,206,72,"N","Player","James Joseph",""
"363","bresnro01",1939,274,206,67,"N","Player","Roger Philip","The Duke Of Tralee"
"364","clarkfr01",1939,274,206,59,"N","Player","Fred Clifford","Cap"
"365","brownmo01",1939,274,206,54,"N","Player","Mordecai Peter Centennial","Three Finger; Miner"
"366","robinwi01",1939,274,206,46,"N","Manager","Wilbert","Uncle Robbie"
"367","bendech01",1939,274,206,40,"N","Player",NA,NA
"368","pennohe01",1939,274,206,40,"N","Player","Herbert Jefferis","The Knight Of Kennett Square"
"369","schalra01",1939,274,206,35,"N","Player","Ray William","Cracker"
"370","duffyhu01",1939,274,206,34,"N","Player","Hugh",""
"371","youngro01",1939,274,206,34,"N","Player",NA,NA
"372","jennihu01",1939,274,206,33,"N","Player","Hugh Ambrose","Ee-Yah"
"373","mcginjo01",1939,274,206,32,"N","Player","Joseph Jerome","Iron Man"
"374","bakerfr01",1939,274,206,30,"N","Player","John Franklin",""
"375","cochrmi01",1939,274,206,28,"N","Player","Gordon Stanley","Black Mike"
"376","jossad01",1939,274,206,28,"N","Player","Adrian",""
"377","planked01",1939,274,206,28,"N","Player","Edward Stewart","Gettysburg Eddie"
"378","friscfr01",1939,274,206,26,"N","Player",NA,NA
"379","griffcl01",1939,274,206,20,"N","Pioneer/Executive","Clark Calvin","The Old Fox"
"380","terrybi01",1939,274,206,16,"N","Player","William Harold","Memphis Bill"
